,config,num_trains,num_expansions,makespan,makespan_pp,search_time,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0
0,19.0,3.0,6211.0,135.0,90.0,270.0,,,,,,
1,19.0,4.0,3983.0,186.0,136.0,260.0,,,,,,
2,19.0,5.0,1727.0,286.0,147.0,240.0,,,,,,
3,19.0,6.0,1144.0,331.0,201.0,210.0,,,,,,
4,17.0,3.0,199571.0,108.0,116.0,290.0,0.0,,,,,
5,17.0,4.0,96907.0,170.0,130.0,290.0,1.0,,,,,
6,17.0,6.0,42121.0,274.0,190.0,290.0,2.0,,,,,
7,17.0,7.0,34139.0,343.0,293.0,290.0,3.0,,,,,
8,17.0,8.0,5339.0,420.0,293.0,90.0,4.0,,,,,
9,17.0,9.0,2884.0,558.0,479.0,50.0,5.0,,,,,
10,18.0,3.0,5937.0,130.0,107.0,270.0,6.0,,,,,
11,18.0,4.0,5097.0,199.0,184.0,260.0,7.0,,,,,
12,18.0,5.0,3061.0,308.0,255.0,240.0,8.0,,,,,
13,18.0,6.0,1493.0,307.0,233.0,220.0,9.0,,,,,
14,18.0,7.0,907.0,372.0,271.0,190.0,10.0,,,,,
15,10.0,3.0,71002.0,114.0,92.0,290.0,11.0,0.0,,,,
16,10.0,4.0,13085.0,184.0,147.0,50.0,12.0,1.0,,,,
17,10.0,5.0,35938.0,209.0,181.0,290.0,13.0,2.0,,,,
18,10.0,6.0,6533.0,287.0,201.0,60.0,14.0,3.0,,,,
19,10.0,7.0,7912.0,318.0,240.0,80.0,15.0,4.0,,,,
20,10.0,9.0,8043.0,511.0,369.0,180.0,16.0,5.0,,,,
21,10.0,11.0,1262.0,721.0,493.0,71.0,17.0,6.0,,,,
22,10.0,12.0,3958.0,773.0,594.0,290.0,18.0,7.0,,,,
23,11.0,3.0,78968.0,103.0,84.0,290.0,19.0,8.0,,,,
24,11.0,4.0,50021.0,148.0,124.0,290.0,20.0,9.0,,,,
25,11.0,5.0,34849.0,207.0,134.0,290.0,21.0,10.0,,,,
26,11.0,6.0,921.0,372.0,255.0,10.0,22.0,11.0,,,,
27,11.0,7.0,2299.0,376.0,278.0,40.0,23.0,12.0,,,,
28,11.0,8.0,20208.0,415.0,252.0,290.0,24.0,13.0,,,,
29,11.0,10.0,5508.0,658.0,515.0,291.0,25.0,14.0,,,,
30,11.0,11.0,5084.0,687.0,533.0,290.0,26.0,15.0,,,,
31,11.0,12.0,1189.0,697.0,459.0,100.0,27.0,16.0,,,,
32,11.0,13.0,1270.0,753.0,553.0,90.0,28.0,17.0,,,,
33,12.0,3.0,83530.0,107.0,84.0,290.0,29.0,18.0,,,,
34,12.0,4.0,51073.0,184.0,125.0,290.0,30.0,19.0,,,,
35,13.0,3.0,65343.0,98.0,82.0,290.0,31.0,20.0,,,,
36,13.0,4.0,-1.0,265.0,254.0,-1.0,32.0,21.0,,,,
37,13.0,5.0,3803.0,292.0,229.0,30.0,33.0,22.0,,,,
38,13.0,6.0,10342.0,284.0,176.0,90.0,34.0,23.0,,,,
39,13.0,7.0,3894.0,453.0,285.0,40.0,35.0,24.0,,,,
40,14.0,3.0,-1.0,131.0,101.0,-1.0,36.0,25.0,,,,
41,14.0,4.0,8752.0,170.0,112.0,60.0,37.0,26.0,,,,
42,15.0,3.0,58177.0,106.0,86.0,290.0,38.0,27.0,,,,
43,15.0,4.0,-1.0,198.0,190.0,-1.0,39.0,28.0,,,,
44,15.0,5.0,6059.0,297.0,226.0,60.0,40.0,29.0,,,,
45,15.0,7.0,2132.0,345.0,246.0,60.0,41.0,30.0,,,,
46,15.0,8.0,1008.0,530.0,353.0,50.0,42.0,31.0,,,,
47,15.0,9.0,2088.0,563.0,360.0,100.0,43.0,32.0,,,,
48,15.0,10.0,4873.0,590.0,340.0,261.0,44.0,33.0,,,,
49,16.0,3.0,79570.0,102.0,97.0,290.0,45.0,34.0,,,,
50,16.0,4.0,21025.0,200.0,128.0,170.0,46.0,35.0,,,,
51,16.0,5.0,10768.0,212.0,161.0,70.0,47.0,36.0,,,,
52,16.0,6.0,1115.0,319.0,225.0,20.0,48.0,37.0,,,,
53,16.0,7.0,-1.0,400.0,225.0,-1.0,49.0,38.0,,,,
54,16.0,8.0,4018.0,500.0,324.0,100.0,50.0,39.0,,,,
55,16.0,9.0,3445.0,518.0,407.0,90.0,51.0,40.0,,,,
56,16.0,11.0,3467.0,734.0,484.0,250.0,52.0,41.0,,,,
57,16.0,13.0,3670.0,858.0,554.0,291.0,53.0,42.0,,,,
58,1.0,3.0,-1.0,125.0,109.0,-1.0,54.0,43.0,0.0,,,
59,1.0,4.0,-1.0,155.0,113.0,-1.0,55.0,44.0,1.0,,,
60,1.0,6.0,17551.0,245.0,172.0,50.0,56.0,45.0,2.0,,,
61,1.0,7.0,24296.0,330.0,254.0,201.0,57.0,46.0,3.0,,,
62,1.0,8.0,3758.0,390.0,251.0,40.0,58.0,47.0,4.0,,,
63,1.0,9.0,1660.0,450.0,286.0,20.0,59.0,48.0,5.0,,,
64,2.0,3.0,52346.0,110.0,91.0,170.0,60.0,49.0,6.0,,,
65,2.0,4.0,12052.0,200.0,138.0,40.0,61.0,50.0,7.0,,,
66,2.0,5.0,-1.0,255.0,225.0,-1.0,62.0,51.0,8.0,,,
67,2.0,7.0,-1.0,310.0,218.0,-1.0,63.0,52.0,9.0,,,
68,2.0,8.0,5701.0,385.0,247.0,60.0,64.0,53.0,10.0,,,
69,2.0,9.0,2923.0,485.0,362.0,41.0,65.0,54.0,11.0,,,
70,3.0,3.0,85384.0,110.0,92.0,200.0,66.0,55.0,12.0,0.0,,
71,3.0,4.0,9100.0,145.0,128.0,20.0,67.0,56.0,13.0,1.0,,
72,3.0,5.0,-1.0,240.0,141.0,-1.0,68.0,57.0,14.0,2.0,,
73,3.0,6.0,33788.0,240.0,180.0,250.0,69.0,58.0,15.0,3.0,,
74,3.0,7.0,3191.0,340.0,204.0,20.0,70.0,59.0,16.0,4.0,,
75,3.0,8.0,3530.0,385.0,243.0,40.0,71.0,60.0,17.0,5.0,,
76,3.0,9.0,1820.0,465.0,322.0,30.0,72.0,61.0,18.0,6.0,,
77,3.0,10.0,3820.0,650.0,539.0,80.0,73.0,62.0,19.0,7.0,,
78,3.0,11.0,5232.0,675.0,493.0,150.0,74.0,63.0,20.0,8.0,,
79,3.0,13.0,1143.0,835.0,622.0,40.0,75.0,64.0,21.0,9.0,,
80,5.0,3.0,87667.0,140.0,123.0,300.0,76.0,65.0,22.0,10.0,,
81,6.0,3.0,69497.0,96.0,92.0,90.0,77.0,66.0,23.0,11.0,,
82,6.0,4.0,78343.0,128.0,136.0,180.0,78.0,67.0,24.0,12.0,,
83,6.0,5.0,2746.0,187.0,140.0,10.0,79.0,68.0,25.0,13.0,,
84,7.0,3.0,201970.0,100.0,92.0,300.0,80.0,69.0,26.0,14.0,,
85,7.0,4.0,106195.0,134.0,108.0,290.0,81.0,70.0,27.0,15.0,,
86,7.0,5.0,7200.0,180.0,160.0,30.0,82.0,71.0,28.0,16.0,,
87,7.0,6.0,32948.0,244.0,175.0,290.0,83.0,72.0,29.0,17.0,,
88,8.0,3.0,74176.0,92.0,88.0,290.0,84.0,73.0,30.0,18.0,,
89,8.0,4.0,36727.0,148.0,101.0,270.0,85.0,74.0,31.0,19.0,,
90,8.0,5.0,9390.0,212.0,137.0,100.0,86.0,75.0,32.0,20.0,,
91,8.0,6.0,7681.0,244.0,171.0,120.0,87.0,76.0,33.0,21.0,,
92,8.0,9.0,4840.0,421.0,293.0,150.0,88.0,77.0,34.0,22.0,,
93,8.0,10.0,877.0,470.0,305.0,40.0,89.0,78.0,35.0,23.0,,
94,8.0,11.0,5764.0,560.0,348.0,290.0,90.0,79.0,36.0,24.0,,
95,9.0,3.0,-1.0,117.0,98.0,-1.0,91.0,80.0,37.0,25.0,,
96,9.0,4.0,12788.0,164.0,118.0,30.0,92.0,81.0,38.0,26.0,,
97,9.0,5.0,17688.0,224.0,183.0,50.0,93.0,82.0,39.0,27.0,,
98,9.0,6.0,34298.0,302.0,241.0,230.0,94.0,83.0,40.0,28.0,,
99,9.0,7.0,4389.0,377.0,239.0,21.0,95.0,84.0,41.0,29.0,,
100,9.0,8.0,1051.0,536.0,379.0,10.0,96.0,85.0,42.0,30.0,,
101,9.0,9.0,6839.0,563.0,427.0,110.0,97.0,86.0,43.0,31.0,,
102,9.0,10.0,4719.0,624.0,462.0,90.0,98.0,87.0,44.0,32.0,,
103,9.0,11.0,3343.0,603.0,476.0,80.0,99.0,88.0,45.0,33.0,,
