config,num_trains,num_expansions,makespan,makespan_pp,search_time
1,3,48884,81,88,100
1,4,-1,117,149,-1
1,5,72478,147,148,260
1,6,-1,204,247,-1
1,7,22705,228,266,240
1,8,15499,282,359,220
1,10,4233,348,389,80
1,11,5762,336,518,150
1,12,4344,390,460,140
2,3,17207,75,85,20
2,4,-1,114,115,-1
2,5,11640,165,159,40
2,6,37228,186,209,250
2,7,21499,165,260,240
2,8,14262,279,287,220
2,9,814,276,370,10
3,3,145162,78,102,290
3,4,4960,114,124,10
3,5,71711,123,180,300
6,3,197484,78,93,290
6,4,128269,117,143,290
6,5,-1,150,154,-1
6,6,86827,162,220,290
7,3,201693,84,84,280
7,4,122216,128,147,270
7,5,11273,152,142,50
7,6,37118,174,189,250
7,7,26180,239,232,240
7,8,20213,297,311,220
7,9,7843,303,333,100
8,3,267612,116,100,300
8,4,138590,120,143,290
8,5,63605,160,174,290
8,6,35488,203,179,290
8,7,24519,200,240,290
9,3,138768,81,94,290
9,4,-1,129,143,-1
9,5,76418,159,143,290
9,6,43156,174,193,290
9,7,34390,252,248,290
9,8,7643,315,347,100
9,10,14194,402,535,290
9,11,5354,441,474,140
9,12,7055,540,652,260
10,3,86744,78,88,150
10,4,97523,96,137,300
10,5,71074,174,166,300
10,6,42831,204,197,300
10,7,33094,234,323,300
10,8,18416,306,305,290
10,9,8218,300,330,150
10,10,10048,387,401,290
11,3,85013,84,108,210
11,4,94957,126,155,300
11,5,4818,180,179,20
11,7,13791,297,320,160
14,3,153742,81,87,290
14,4,3972,129,134,10
14,5,63028,171,175,290
14,6,38598,198,186,290
14,7,20577,249,244,290
14,9,13012,357,330,290
15,3,127574,84,98,300
15,4,68133,126,142,290
15,5,9428,204,183,40
15,6,36353,249,232,290
16,3,94661,111,95,290
16,4,57690,137,133,290
16,5,38840,175,146,290
16,6,19225,216,186,290
16,7,11916,304,259,290
16,8,10718,342,261,290
16,9,8685,427,312,290
16,10,6547,505,385,290
17,3,52762,96,90,290
17,4,27723,153,128,290
17,5,16378,264,212,290
17,6,5226,277,202,120
17,7,7850,322,223,290
17,8,5675,345,265,290
17,10,3559,487,352,290
18,3,88625,102,90,280
18,4,49487,147,109,270
18,5,37099,247,178,260
18,6,26757,272,203,250
18,7,17990,364,246,240
18,8,9844,387,275,220
18,9,7741,407,275,200
18,10,5081,572,423,180
18,11,3374,545,367,150
19,3,99207,93,83,280
19,4,55770,136,113,280
19,5,33378,204,162,260
19,6,25396,262,175,250
19,7,15926,288,201,240
19,8,12584,373,257,220
19,9,6838,453,346,200
19,10,4867,468,350,180
19,11,3723,596,400,150
21,3,114173,102,89,290
21,4,62338,164,143,290
21,5,43281,236,160,290
21,6,33810,257,193,290
21,7,16244,335,249,240
21,8,10133,483,323,290
21,9,8633,482,327,290
22,3,82824,106,92,290
22,4,44696,214,180,290
22,5,23436,264,196,290
22,6,18218,270,195,290
22,7,10022,377,237,290
24,3,92145,132,89,300
24,4,66252,223,127,300
24,5,43356,315,188,300
24,6,31132,357,253,290
24,7,18941,449,240,290
24,8,15613,515,275,290
26,3,181550,78,92,290
26,4,135479,114,148,300
26,5,-1,156,177,-1
26,7,-1,198,278,-1
26,8,21466,303,582,290
26,9,4729,300,488,60
27,3,103153,112,89,300
1,3,48884,81,86,100
1,4,-1,117,141,-1
1,5,72478,147,133,260
1,6,-1,204,220,-1
1,7,22705,228,228,240
1,8,15499,282,300,220
1,10,4233,348,328,80
1,11,5762,336,436,150
1,12,4344,390,380,140
2,3,17207,75,77,20
2,4,-1,114,103,-1
2,5,11640,165,146,40
2,6,37228,186,195,250
2,7,21499,165,234,240
2,8,14262,279,249,220
2,9,814,276,318,10
3,3,145162,78,92,290
3,4,4960,114,111,10
3,5,71711,123,157,300
6,3,197484,78,84,290
6,4,128269,117,136,290
6,5,-1,150,139,-1
6,6,86827,162,183,290
7,3,201693,84,80,280
7,4,122216,128,139,270
7,5,11273,152,130,50
7,6,37118,174,168,250
7,7,26180,239,207,240
7,8,20213,297,263,220
7,9,7843,303,293,100
8,3,267612,116,92,300
8,4,138590,120,132,290
8,5,63605,160,162,290
8,6,35488,203,160,290
8,7,24519,200,219,290
9,3,138768,81,86,290
9,4,-1,129,133,-1
9,5,76418,159,125,290
9,6,43156,174,168,290
9,7,34390,252,220,290
9,8,7643,315,284,100
9,10,14194,402,462,290
9,11,5354,441,389,140
9,12,7055,540,553,260
10,3,86744,78,82,150
10,4,97523,96,118,300
10,5,71074,174,158,300
10,6,42831,204,180,300
10,7,33094,234,273,300
10,8,18416,306,266,290
10,9,8218,300,280,150
10,10,10048,387,326,290
11,3,85013,84,99,210
11,4,94957,126,138,300
11,5,4818,180,164,20
11,7,13791,297,282,160
14,3,153742,81,83,290
14,4,3972,129,126,10
14,5,63028,171,163,290
14,6,38598,198,156,290
14,7,20577,249,217,290
14,9,13012,357,290,290
15,3,127574,84,94,300
15,4,68133,126,134,290
15,5,9428,204,161,40
15,6,36353,249,211,290
16,3,94661,111,87,290
16,4,57690,137,119,290
16,5,38840,175,135,290
16,6,19225,216,170,290
16,7,11916,304,232,290
16,8,10718,342,231,290
16,9,8685,427,283,290
16,10,6547,505,336,290
17,3,52762,96,81,290
17,4,27723,153,118,290
17,5,16378,264,192,290
17,6,5226,277,185,120
17,7,7850,322,189,290
17,8,5675,345,242,290
17,10,3559,487,309,290
18,3,88625,102,86,280
18,4,49487,147,101,270
18,5,37099,247,166,260
18,6,26757,272,189,250
18,7,17990,364,228,240
18,8,9844,387,255,220
18,9,7741,407,246,200
18,10,5081,572,389,180
18,11,3374,545,333,150
19,3,99207,93,74,280
19,4,55770,136,107,280
19,5,33378,204,152,260
19,6,25396,262,159,250
19,7,15926,288,178,240
19,8,12584,373,224,220
19,9,6838,453,318,200
19,10,4867,468,318,180
19,11,3723,596,361,150
21,3,114173,102,85,290
21,4,62338,164,137,290
21,5,43281,236,152,290
21,6,33810,257,172,290
21,7,16244,335,222,240
21,8,10133,483,300,290
21,9,8633,482,285,290
22,3,82824,106,88,290
22,4,44696,214,170,290
22,5,23436,264,184,290
22,6,18218,270,177,290
22,7,10022,377,211,290
24,3,92145,132,85,300
24,4,66252,223,121,300
24,5,43356,315,176,300
24,6,31132,357,237,290
24,7,18941,449,220,290
24,8,15613,515,251,290
26,3,181550,78,88,290
26,4,135479,114,138,300
26,5,-1,156,151,-1
26,7,-1,198,239,-1
26,8,21466,303,463,290
26,9,4729,300,416,60
27,3,103153,112,85,300
