,config,num_trains,num_expansions,makespan,makespan_pp,search_time,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0
0,13.0,3.0,3420.0,126.0,124.0,290.0,,,,,,,,
1,13.0,5.0,1127.0,297.0,230.0,281.0,,,,,,,,
2,8.0,3.0,58378.0,111.0,111.0,290.0,0.0,,,,,,,
3,8.0,4.0,22699.0,186.0,164.0,291.0,1.0,,,,,,,
4,8.0,5.0,11448.0,233.0,205.0,290.0,2.0,,,,,,,
5,9.0,3.0,59261.0,98.0,89.0,290.0,3.0,,,,,,,
6,9.0,4.0,28994.0,170.0,158.0,290.0,4.0,,,,,,,
7,9.0,5.0,17218.0,233.0,196.0,290.0,5.0,,,,,,,
8,9.0,6.0,9011.0,338.0,288.0,240.0,6.0,,,,,,,
9,9.0,7.0,11735.0,399.0,300.0,290.0,7.0,,,,,,,
10,9.0,10.0,4213.0,629.0,525.0,290.0,8.0,,,,,,,
11,10.0,3.0,54221.0,121.0,105.0,300.0,9.0,,,,,,,
12,10.0,4.0,27353.0,169.0,139.0,300.0,10.0,,,,,,,
13,10.0,5.0,14703.0,257.0,175.0,290.0,11.0,,,,,,,
14,10.0,6.0,9263.0,321.0,260.0,290.0,12.0,,,,,,,
15,11.0,3.0,18270.0,111.0,98.0,290.0,13.0,,,,,,,
16,11.0,5.0,5897.0,265.0,180.0,290.0,14.0,,,,,,,
17,11.0,6.0,3165.0,342.0,215.0,290.0,15.0,,,,,,,
18,11.0,7.0,2434.0,442.0,266.0,290.0,16.0,,,,,,,
19,11.0,8.0,1890.0,535.0,374.0,290.0,17.0,,,,,,,
20,11.0,9.0,1671.0,568.0,359.0,290.0,18.0,,,,,,,
21,12.0,6.0,9596.0,394.0,258.0,290.0,19.0,,,,,,,
22,12.0,7.0,5688.0,475.0,269.0,290.0,20.0,,,,,,,
23,12.0,8.0,4802.0,472.0,316.0,291.0,21.0,,,,,,,
24,12.0,9.0,3986.0,649.0,395.0,290.0,22.0,,,,,,,
25,7.0,3.0,25539.0,96.0,102.0,300.0,23.0,10.0,0.0,0.0,,,,
26,7.0,4.0,11503.0,130.0,138.0,290.0,24.0,11.0,1.0,1.0,,,,
