config,num_trains,cost,makespan_pp,search_time
15,3,73.0,111,3.57443
15,4,118.0,126,12.02663
15,5,176.0,168,41.22809
15,6,223.0,259,296.84572
15,7,220.0,257,564.55925
16,3,85.0,119,3.99776
16,4,143.0,139,13.56388
16,5,201.0,197,38.27219
16,6,264.0,278,398.88881
16,7,259.0,283,560.9384399999999
11,3,55.0,127,1.10936
11,4,64.0,121,3.44064
11,5,112.0,171,16.965439999999997
11,6,125.0,211,26.2895
11,7,143.0,264,91.98252
12,3,15.0,111,0.83101
12,4,22.0,155,2.88468
12,5,21.0,183,3.60829
12,6,26.0,193,14.99432
13,3,42.0,93,1.22642
13,4,64.0,108,5.4966800000000005
13,5,70.0,176,8.46965
13,6,64.0,187,21.99455
14,3,64.0,99,1.63792
14,4,73.0,113,4.3493
14,5,103.0,169,12.53241
14,6,134.0,216,25.64937
1,3,13.0,110,0.57002
1,4,22.0,155,2.13606
1,5,21.0,196,21.67948
2,3,17.0,124,1.43863
2,4,21.0,171,2.78098
2,5,29.0,234,11.98327
2,6,27.0,238,44.433690000000006
4,3,18.0,84,0.3255
4,4,51.0,138,6.812399999999999
4,5,57.0,157,57.535
4,6,63.0,217,66.75967999999999
4,7,69.0,257,62.20571
5,3,18.0,82,0.3545
5,4,51.0,138,6.69525
5,5,57.0,157,57.52954
5,6,63.0,199,67.65043
5,7,69.0,236,65.44256
6,3,34.0,93,1.40452
6,4,64.0,107,6.49233
6,5,62.0,176,9.04743
7,3,34.0,92,1.42793
7,4,56.0,106,6.40026
7,5,62.0,176,12.56892
7,7,78.0,222,36.55058
8,3,50.0,90,3.50531
8,4,60.0,141,7.563350000000001
9,3,79.0,110,3.17595
9,4,123.0,136,9.542879999999998
9,5,167.0,194,21.74712
9,6,175.0,218,57.7116
9,7,215.0,296,62.42747
10,3,69.0,111,2.88652
10,4,98.0,126,9.03314
10,5,136.0,168,28.46391
10,6,175.0,259,199.45648
10,7,188.0,257,359.73762
