config,num_trains,num_expansions,cost,makespan_pp
10,3,6101,53,84
10,4,7296,81,105
10,5,6881,104,144
10,6,6191,138,157
10,7,3534,171,189
10,8,3391,185,232
10,9,9099,224,326
10,10,9487,251,284
10,11,6945,301,331
10,12,7433,320,408
10,13,4555,351,473
30,3,1128,21,84
30,4,9014,28,105
30,5,9527,35,129
30,6,8655,50,157
30,7,5745,57,191
30,8,7211,64,255
30,9,4375,79,255
30,10,4020,86,307
30,11,2511,101,337
30,12,2448,115,359
30,13,1253,137,464
30,14,1076,161,504
30,15,662,180,613
30,16,1107,202,678
30,17,2111,234,778
31,3,3107,21,84
31,4,15650,28,105
31,5,4931,35,128
31,6,5483,42,166
31,7,7125,49,204
31,8,4499,59,250
31,9,3132,71,273
31,10,4127,86,333
31,11,2113,100,340
31,12,2238,104,375
31,13,1840,123,423
31,14,1512,126,419
31,15,806,139,514
31,16,1322,144,500
31,17,2803,164,623
31,18,3114,162,565
40,3,6260,53,84
40,4,6453,81,105
40,5,6034,104,144
40,6,5451,138,157
40,7,3477,171,189
40,8,3078,185,232
40,9,2907,219,255
40,10,1960,251,280
40,11,1569,287,312
40,12,2116,326,407
40,13,7647,396,498
40,14,3663,467,540
40,15,3987,577,710
40,16,4347,517,625
41,3,7318,47,84
41,4,6575,65,105
41,5,4646,87,128
41,6,3029,122,172
41,7,2531,131,174
41,8,1782,179,233
41,9,1771,201,270
41,10,1466,221,295
41,11,1284,240,317
50,4,6198,28,115
50,5,4476,53,182
50,6,1596,56,196
51,3,87558,21,101
51,4,50883,28,115
