config,num_trains,num_expansions,cost,makespan_pp,search_time
6,3,17609,-1,104,-1
6,4,6084,12,126,290
6,5,2948,15,187,290
6,6,337515,24,175,90
6,7,1290,21,253,180
6,8,20443,27,251,150
7,3,19805,-1,130,10
7,4,78,60,168,290
8,3,19601,-1,93,10
9,3,156880,-1,84,90
10,3,103871,-1,89,60
10,4,105998,63,119,160
10,5,1186,75,149,290
10,6,50530,117,235,40
11,3,87597,-1,92,90
12,3,53902,-1,87,50
1,3,19019,-1,92,10
1,5,184,75,156,290
1,6,107421,90,255,60
2,3,19019,-1,92,10
2,5,184,75,156,290
2,6,107421,90,255,90
3,3,18815,-1,92,10
3,5,10373,15,168,270
4,3,19130,-1,111,-1
5,3,19022,-1,129,10
5,4,47,60,127,290
5,5,125,75,175,290
