config,num_trains,num_expansions,cost,makespan_pp,search_time
1,3,169,9,88,290
1,4,339,12,126,290
1,5,90,17,180,290
1,6,113,22,196,290
1,7,123,27,228,290
1,8,240,40,312,280
1,9,514,45,364,260
1,10,350,52,413,260
1,11,563,59,467,240
1,13,859,84,668,210
2,3,40,9,88,290
2,4,49,12,118,290
2,5,54,17,153,290
2,6,67,22,198,290
2,7,115,29,242,290
2,8,163,40,308,280
2,9,374,43,340,270
2,10,23759,70,525,40
2,11,1513,65,509,230
3,3,113,9,88,290
3,4,140432,12,106,230
3,5,162926,18,163,130
3,6,3311,24,226,280
3,7,245,29,258,290
3,8,1503,46,379,290
3,9,899,48,433,280
3,10,6222,54,420,230
3,12,4735,85,658,140
3,13,17258,140,1051,110
4,3,279,9,100,290
4,4,485,12,124,270
4,5,4153,17,204,140
4,6,2594,22,207,30
4,8,2938,88,575,10
4,9,7216,77,505,20
5,3,1124549,-1,88,290
5,4,218,24,116,290
5,5,46457,35,195,170
5,6,906,56,210,280
5,7,208,49,227,230
5,8,598,94,271,230
6,3,169,63,88,290
6,4,291,84,126,290
6,5,90,119,180,290
6,6,119,154,196,290
6,7,128,189,238,290
6,8,208,280,315,270
6,9,377,301,343,280
6,10,406,357,419,240
6,11,544,413,471,230
6,13,716,609,689,250
7,3,113,63,88,290
7,4,100195,84,111,230
7,5,22918,133,154,270
7,6,6746,168,204,270
7,7,123,203,258,290
7,8,1653,322,370,190
7,9,193,336,422,260
7,10,3334,448,508,210
7,11,4786,595,653,10
8,3,47,86,90,290
8,4,58,116,109,290
8,5,2330,226,242,280
8,8,606,390,391,290
9,3,39,86,90,290
9,4,53,116,109,290
9,5,13135,166,172,260
9,7,20465,342,385,20
9,8,15971,392,456,140
10,3,679398,78,66,70
10,4,48,116,65,290
10,5,773,170,95,290
10,8,2209,392,163,240
11,3,887595,78,103,50
11,4,9905,128,132,23741
11,5,42653,172,174,240
11,6,8819,212,277,270
11,7,209,290,305,290
11,8,13988,376,395,10
12,3,471897,81,100,180
12,4,64,119,113,290
12,5,2112,205,210,290
13,3,272760,105,100,180
13,4,89,152,110,290
14,3,426066,78,103,190
14,4,134756,128,117,120
14,5,2073,177,170,290
14,6,245164,248,303,20
14,7,1654,336,387,280
14,8,7854,518,581,50
14,10,13031,758,761,10
14,11,78855,974,923,10
15,3,499202,123,103,40
15,4,7164,204,122,240
